epoch,acc,loss,val_acc,val_loss
0,0.5658078,0.6993823249027922,0.6823177,0.6435942873358727
1,0.62325907,0.6499832788881817,0.61538464,0.6316768005490303
2,0.650766,0.6331619932458925,0.6943057,0.5711320340633392
3,0.6637228,0.6127261908158012,0.6953047,0.5929634049534798
4,0.69035715,0.5990033013480051,0.74325675,0.5415660291910172
5,0.68523675,0.5883702089527524,0.7192807,0.5663121789693832
6,0.70577997,0.5698197796152162,0.72527474,0.5266422132651011
7,0.70194983,0.5789947584478968,0.77722275,0.5032657906413078
8,0.69533426,0.5721830524773983,0.77222776,0.4920444190502167
9,0.72350544,0.5551791385464047,0.7822178,0.4905792661011219
10,0.7210714,0.5563745434795108,0.77022976,0.48306142538785934
11,0.71552926,0.5644389623386946,0.7752248,0.49922242760658264
12,0.7265625,0.5511173580003821,0.77922076,0.49898114055395126
13,0.73214287,0.5554584874425615,0.77922076,0.4655609428882599
14,0.719769,0.5591848894305851,0.7912088,0.46746009960770607
15,0.7211003,0.5573380436737889,0.7822178,0.4730127565562725
16,0.71100277,0.566407993975456,0.78821176,0.47321880981326103
17,0.71204734,0.5712617853225772,0.7952048,0.4867384545505047
18,0.7238858,0.5485348990368644,0.7932068,0.4667127728462219
19,0.716922,0.5454186000199703,0.77922076,0.46517158299684525
20,0.73363507,0.539418650619831,0.7832168,0.48763125389814377
21,0.7214485,0.5620372869842232,0.78821176,0.4780344031751156
22,0.7270195,0.5441070575900064,0.7862138,0.4583081863820553
23,0.72179663,0.5443425097173303,0.7922078,0.4598553702235222
24,0.73259056,0.5412001325061394,0.8021978,0.4565964825451374
25,0.7402507,0.5401280369599217,0.7972028,0.4571140445768833
26,0.7305014,0.5416582846873982,0.7902098,0.46855925023555756
27,0.7259749,0.5547971417478864,0.7952048,0.46839552000164986
28,0.73642063,0.5436428631746669,0.7962038,0.4596231244504452
29,0.7272419,0.5561810615270034,0.7962038,0.46798956394195557
30,0.742688,0.5351856488703353,0.7982018,0.4439040310680866
31,0.73392856,0.5399771184580666,0.78121877,0.48478939011693
32,0.7263231,0.5534591161773066,0.7982018,0.4721924252808094
33,0.7279212,0.5361506511335787,0.7952048,0.4583754725754261
34,0.74547356,0.5467806312367113,0.7972028,0.4499846063554287
35,0.7221429,0.552940582036972,0.77222776,0.4851185195147991
36,0.7305014,0.5428796173138206,0.7942058,0.4573415778577328
37,0.72350544,0.5392134980015133,0.7952048,0.4516631029546261
38,0.7284123,0.536172811201356,0.7992008,0.43949517980217934
39,0.7339833,0.5365981114275941,0.7972028,0.45661526545882225
40,0.744429,0.5338184640932216,0.7672328,0.47603584453463554
41,0.718663,0.5504928772495982,0.7902098,0.4568912610411644
42,0.7437326,0.5277620764827994,0.8041958,0.44023634120821953
43,0.7402507,0.5337810733856265,0.7952048,0.43848175927996635
44,0.7412953,0.5344436801243625,0.7942058,0.4531369172036648
45,0.73259056,0.5358517821618773,0.7912088,0.4481213428080082
46,0.7402507,0.5316628587113117,0.8061938,0.4330992214381695
47,0.73642063,0.5308186182736686,0.8141858,0.4269777946174145
48,0.737117,0.5367730545466325,0.7972028,0.4333552084863186
49,0.73537606,0.530947324542282,0.8021978,0.4305398389697075
50,0.75407606,0.5181206723918086,0.7982018,0.425442636013031
51,0.745,0.5252459755965642,0.7942058,0.44844648241996765
52,0.74059886,0.5212460386055757,0.8131868,0.42181697860360146
53,0.74825907,0.5182414097208167,0.78821176,0.4476083964109421
54,0.73259056,0.5313085968447927,0.8141858,0.4142495058476925
55,0.74477714,0.5104870518934096,0.8251748,0.3966594226658344
56,0.737117,0.5176604518817328,0.84015983,0.39541594684123993
57,0.74660325,0.5141226429006328,0.8231768,0.40324214845895767
58,0.7564286,0.5074344144548688,0.82417583,0.387853242456913
59,0.74422556,0.5199439681094625,0.8361638,0.39453666657209396
60,0.75348186,0.5096955324281889,0.84215784,0.3803379274904728
61,0.7582143,0.4941098686626979,0.8221778,0.3920428268611431
62,0.77472144,0.47690338045773734,0.8451548,0.37883858382701874
63,0.75243735,0.49645134250433665,0.8321678,0.37880630046129227
64,0.7724185,0.4821415750876717,0.8431568,0.3726603537797928
65,0.7754178,0.47915827538973776,0.83716285,0.36425960063934326
66,0.77054316,0.47655281831295043,0.84815186,0.3485279157757759
67,0.77428573,0.4600288454975401,0.8211788,0.3976864293217659
68,0.7819294,0.4643303285474363,0.85314685,0.3421035371720791
69,0.7729805,0.47837129592231387,0.8541458,0.33934783935546875
70,0.7997911,0.4508244903306775,0.86613387,0.3261142373085022
71,0.8067549,0.44219297552507236,0.8721279,0.31521059572696686
72,0.7997911,0.45027706649642135,0.8721279,0.31724806129932404
73,0.7983983,0.438322417666321,0.8681319,0.3121801093220711
74,0.7938719,0.4444373299816525,0.86413586,0.32600460201501846
75,0.79038996,0.4434675514531999,0.8611389,0.31672151759266853
76,0.80027175,0.4313785757707513,0.86913085,0.29584343545138836
77,0.81285715,0.4230376672744751,0.8811189,0.2917913496494293
