epoch,acc,loss,val_acc,val_loss
0,0.52150536,0.8112327183286349,0.556,0.6790517369906107
1,0.620317,0.6727339520578082,0.502,0.7064419786135355
2,0.64534074,0.6466667183748704,0.622,0.615656210316552
3,0.6787205,0.6125677023626999,0.838,0.5401824944549136
4,0.76780915,0.5070229371388754,0.863,0.3733478950129615
5,0.81772333,0.4140094564180896,0.875,0.3283511499563853
6,0.8438804,0.36231164640445207,0.858,0.32305293613009983
7,0.8668289,0.32238583683304395,0.739,0.46454186571968925
8,0.8786509,0.30022079494467035,0.935,0.18535689678457049
9,0.8922114,0.26047806800323664,0.934,0.1658221453516966
10,0.9015457,0.2444357257336378,0.927,0.19354798561996883
11,0.9113833,0.2266228275121289,0.952,0.12760192797415787
12,0.92271507,0.20211462986965975,0.949,0.13799474967850578
13,0.9120306,0.21071631870697535,0.944,0.13094514049589634
14,0.9308067,0.18616733148756212,0.951,0.11954143105281724
15,0.9211095,0.19572507291602814,0.954,0.10868289156092538
16,0.92837274,0.17742320224746377,0.947,0.15800782091294727
17,0.9374131,0.15807419878551127,0.938,0.1442045193269021
18,0.93706536,0.15655309864953265,0.922,0.19390102558665806
19,0.93817204,0.15950549487024546,0.94,0.14106539667894444
20,0.9426286,0.1526089787939162,0.948,0.11603927053511143
21,0.9461057,0.1487724268407417,0.958,0.11592677276995447
22,0.9450626,0.14682190909836654,0.956,0.10151110982729329
23,0.9478442,0.1394907055171375,0.957,0.11699543857119149
24,0.9471488,0.13376056907571574,0.957,0.12491454515192243
25,0.9394993,0.14761557002060935,0.939,0.14700593111208743
26,0.9447149,0.1450182876869601,0.959,0.10213015269902018
27,0.9579277,0.12190423692901708,0.964,0.10580698845701085
28,0.9450626,0.15001127518640936,0.96,0.10877309154926075
29,0.9509736,0.13455615485390138,0.946,0.15519772925310665
30,0.9401947,0.14614533840242117,0.954,0.11193694081157446
31,0.9537552,0.13505752522482825,0.961,0.10193913067794508
32,0.949235,0.12772122003728723,0.959,0.11228137690987852
33,0.9516129,0.12595610972493887,0.962,0.10184298274624679
34,0.94632566,0.1461956715077076,0.956,0.1363129911367737
35,0.9558414,0.11543911358183548,0.955,0.11392875119215912
36,0.953293,0.12708289409056306,0.957,0.121013928618696
37,0.9549712,0.11847916047386718,0.965,0.0975234716380429
38,0.9582754,0.11286573472623201,0.956,0.10787835986249977
39,0.9559812,0.10643668643509348,0.958,0.12456645692388217
40,0.9553314,0.12004392192046821,0.953,0.11919367303036982
41,0.9565368,0.11457013400460649,0.962,0.09887710586190224
42,0.9610215,0.10884981074680884,0.959,0.12190277424330513
43,0.96037465,0.11048782328331591,0.963,0.10683642410569721
44,0.9596774,0.11174969219913085,0.958,0.11045128608626935
45,0.9572323,0.11272370710098528,0.955,0.09860456062273847
46,0.9596662,0.1173008426982438,0.955,0.1199626461085346
47,0.9600144,0.09873341531184118,0.958,0.10887713921450388
48,0.9620296,0.09980459169795115,0.961,0.10233745542872283
49,0.9603616,0.1121104189683068,0.959,0.09971784831335147
50,0.9624478,0.09543965722179049,0.963,0.09200626363356908
51,0.96070933,0.10345677170845498,0.956,0.1208379701193836
52,0.9582754,0.11380095407884874,0.958,0.09852489309074978
53,0.9663978,0.08966791195174058,0.951,0.11872704347802533
54,0.9621758,0.1032598850583008,0.957,0.11046317152472006
55,0.96279556,0.0971014325938321,0.955,0.11229516058746311
56,0.9652295,0.0939907073425401,0.963,0.10586765532692273
57,0.9653898,0.09875959732259314,0.962,0.11190763488411903
58,0.9593185,0.1062313711480529,0.954,0.14341450896528032
59,0.9628962,0.10217884312832046,0.961,0.10634796652528974
60,0.9674059,0.09626947607224186,0.956,0.10574960874186622
61,0.96145535,0.10044619241079869,0.96,0.10739902986420526
62,0.9676634,0.08753430567712876,0.959,0.12705542431730363
